[18/09/2020 14:35:02]{'temperature_inside': 26.5, 'temperature_outside': 25.016015625, 'pressure_inside': 965.93, 'pressure_outside': 957.9459061821867, 'humidity_inside': 0, 'humidity_outside': 46.18665506748878, 'rotation_x': 0.02916312728253585, 'rotation_y': -0.11771209604997382, 'rotation_z': 1.7709923664122138, 'gps_x': 0, 'gps_y': 0, 'time': 1600432501.724828}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:06]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 965.99, 'pressure_outside': 957.9357400776287, 'humidity_inside': 0, 'humidity_outside': 45.96784133413897, 'rotation_x': 0.02964522684879863, 'rotation_y': -0.11747452955626994, 'rotation_z': 1.7786259541984732, 'gps_x': 0, 'gps_y': 0, 'time': 1600432505.7951672}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
[18/09/2020 14:35:10]{'temperature_inside': 26.5, 'temperature_outside': 25.031640625, 'pressure_inside': 966.02, 'pressure_outside': 957.9637039840298, 'humidity_inside': 0, 'humidity_outside': 46.11579448471471, 'rotation_x': 0.030252734027237268, 'rotation_y': -0.1185175880298876, 'rotation_z': 1.7404580152671756, 'gps_x': 0, 'gps_y': 0, 'time': 1600432509.8638628}
