[18/09/2020 00:01:06]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.09, 'pressure_outside': 958.2052307974501, 'humidity_inside': 0, 'humidity_outside': 52.945029214405125, 'rotation_x': 0.022585446132179388, 'rotation_y': -0.5100508343407479, 'rotation_z': 1.8625954198473282, 'gps_x': 0, 'gps_y': 0, 'time': 1600380066.5657759}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
[18/09/2020 00:01:10]{'temperature_inside': 27.3, 'temperature_outside': 25.9603515625, 'pressure_inside': 966.17, 'pressure_outside': 958.2118201770319, 'humidity_inside': 0, 'humidity_outside': 52.95120139532243, 'rotation_x': 0.023111588757574044, 'rotation_y': -0.5103124699905224, 'rotation_z': 1.8854961832061068, 'gps_x': 0, 'gps_y': 0, 'time': 1600380070.6395085}
